,city,county,city_unic,county_unic,link
0,Aba,Fejér,aba,fejer-megye,https://ingatlan.com/lista/aba
1,Abádszalók,Jász-Nagykun-Szolnok,abadszalok,jasz-nagykun-szolnok-megye,https://ingatlan.com/lista/abadszalok
2,Abaliget,Baranya,abaliget,baranya-megye,https://ingatlan.com/lista/abaliget
3,Abasár,Heves,abasar,heves-megye,https://ingatlan.com/lista/abasar
4,Abaújalpár,Borsod-Abaúj-Zemplén,abaujalpar,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/abaujalpar
5,Abaújkér,Borsod-Abaúj-Zemplén,abaujker,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/abaujker
6,Abaújlak,Borsod-Abaúj-Zemplén,abaujlak,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/abaujlak
7,Abaújszántó,Borsod-Abaúj-Zemplén,abaujszanto,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/abaujszanto
8,Abaújszolnok,Borsod-Abaúj-Zemplén,abaujszolnok,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/abaujszolnok
9,Abaújvár,Borsod-Abaúj-Zemplén,abaujvar,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/abaujvar
10,Abda,Győr-Moson-Sopron,abda,gyor-moson-sopron-megye,https://ingatlan.com/lista/abda
11,Abod,Borsod-Abaúj-Zemplén,abod,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/abod
12,Abony,Pest,abony,pest-megye,https://ingatlan.com/lista/abony
13,Ábrahámhegy,Veszprém,abrahamhegy,veszprem-megye,https://ingatlan.com/lista/abrahamhegy
14,Ács,Komárom-Esztergom,acs,komarom-esztergom-megye,https://ingatlan.com/lista/acs
15,Acsa,Pest,acsa,pest-megye,https://ingatlan.com/lista/acsa
16,Acsád,Vas,acsad,vas-megye,https://ingatlan.com/lista/acsad
17,Acsalag,Győr-Moson-Sopron,acsalag,gyor-moson-sopron-megye,https://ingatlan.com/lista/acsalag
18,Ácsteszér,Komárom-Esztergom,acsteszer,komarom-esztergom-megye,https://ingatlan.com/lista/acsteszer
19,Adács,Heves,adacs,heves-megye,https://ingatlan.com/lista/adacs
20,Ádánd,Somogy,adand,somogy-megye,https://ingatlan.com/lista/adand
21,Adásztevel,Veszprém,adasztevel,veszprem-megye,https://ingatlan.com/lista/adasztevel
22,Adony,Fejér,adony,fejer-megye,https://ingatlan.com/lista/adony
23,Adorjánháza,Veszprém,adorjanhaza,veszprem-megye,https://ingatlan.com/lista/adorjanhaza
24,Adorjás,Baranya,adorjas,baranya-megye,https://ingatlan.com/lista/adorjas
25,Ág,Baranya,ag,baranya-megye,https://ingatlan.com/lista/ag
26,Ágasegyháza,Bács-Kiskun,agasegyhaza,bacs-kiskun-megye,https://ingatlan.com/lista/agasegyhaza
27,Ágfalva,Győr-Moson-Sopron,agfalva,gyor-moson-sopron-megye,https://ingatlan.com/lista/agfalva
28,Aggtelek,Borsod-Abaúj-Zemplén,aggtelek,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/aggtelek
29,Agyagosszergény,Győr-Moson-Sopron,agyagosszergeny,gyor-moson-sopron-megye,https://ingatlan.com/lista/agyagosszergeny
30,Ajak,Szabolcs-Szatmár-Bereg,ajak,szabolcs-szatmar-bereg-megye,https://ingatlan.com/lista/ajak
31,Ajka,Veszprém,ajka,veszprem-megye,https://ingatlan.com/lista/ajka
32,Aka,Komárom-Esztergom,aka,komarom-esztergom-megye,https://ingatlan.com/lista/aka
33,Akasztó,Bács-Kiskun,akaszto,bacs-kiskun-megye,https://ingatlan.com/lista/akaszto
34,Alacska,Borsod-Abaúj-Zemplén,alacska,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/alacska
35,Alap,Fejér,alap,fejer-megye,https://ingatlan.com/lista/alap
36,Alattyán,Jász-Nagykun-Szolnok,alattyan,jasz-nagykun-szolnok-megye,https://ingatlan.com/lista/alattyan
37,Albertirsa,Pest,albertirsa,pest-megye,https://ingatlan.com/lista/albertirsa
38,Alcsútdoboz,Fejér,alcsutdoboz,fejer-megye,https://ingatlan.com/lista/alcsutdoboz
39,Aldebrő,Heves,aldebro,heves-megye,https://ingatlan.com/lista/aldebro
40,Algyő,Csongrád,algyo,csongrad-megye,https://ingatlan.com/lista/algyo
41,Alibánfa,Zala,alibanfa,zala-megye,https://ingatlan.com/lista/alibanfa
42,Almamellék,Baranya,almamellek,baranya-megye,https://ingatlan.com/lista/almamellek
43,Almásfüzitő,Komárom-Esztergom,almasfuzito,komarom-esztergom-megye,https://ingatlan.com/lista/almasfuzito
44,Almásháza,Zala,almashaza,zala-megye,https://ingatlan.com/lista/almashaza
45,Almáskamarás,Békés,almaskamaras,bekes-megye,https://ingatlan.com/lista/almaskamaras
46,Almáskeresztúr,Baranya,almaskeresztur,baranya-megye,https://ingatlan.com/lista/almaskeresztur
47,Álmosd,Hajdú-Bihar,almosd,hajdu-bihar-megye,https://ingatlan.com/lista/almosd
48,Alsóberecki,Borsod-Abaúj-Zemplén,alsoberecki,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/alsoberecki
49,Alsóbogát,Somogy,alsobogat,somogy-megye,https://ingatlan.com/lista/alsobogat
50,Alsódobsza,Borsod-Abaúj-Zemplén,alsodobsza,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/alsodobsza
51,Alsógagy,Borsod-Abaúj-Zemplén,alsogagy,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/alsogagy
52,Alsómocsolád,Baranya,alsomocsolad,baranya-megye,https://ingatlan.com/lista/alsomocsolad
53,Alsónána,Tolna,alsonana,tolna-megye,https://ingatlan.com/lista/alsonana
54,Alsónémedi,Pest,alsonemedi,pest-megye,https://ingatlan.com/lista/alsonemedi
55,Alsónemesapáti,Zala,alsonemesapati,zala-megye,https://ingatlan.com/lista/alsonemesapati
56,Alsónyék,Tolna,alsonyek,tolna-megye,https://ingatlan.com/lista/alsonyek
57,Alsóörs,Veszprém,alsoors,veszprem-megye,https://ingatlan.com/lista/alsoors
58,Alsópáhok,Zala,alsopahok,zala-megye,https://ingatlan.com/lista/alsopahok
59,Alsópetény,Nógrád,alsopeteny,nograd-megye,https://ingatlan.com/lista/alsopeteny
60,Alsórajk,Zala,alsorajk,zala-megye,https://ingatlan.com/lista/alsorajk
61,Alsóregmec,Borsod-Abaúj-Zemplén,alsoregmec,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/alsoregmec
62,Alsószenterzsébet,Zala,alsoszenterzsebet,zala-megye,https://ingatlan.com/lista/alsoszenterzsebet
63,Alsószentiván,Fejér,alsoszentivan,fejer-megye,https://ingatlan.com/lista/alsoszentivan
64,Alsószentmárton,Baranya,alsoszentmarton,baranya-megye,https://ingatlan.com/lista/alsoszentmarton
65,Alsószölnök,Vas,alsoszolnok,vas-megye,https://ingatlan.com/lista/alsoszolnok
66,Alsószuha,Borsod-Abaúj-Zemplén,alsoszuha,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/alsoszuha
67,Alsótelekes,Borsod-Abaúj-Zemplén,alsotelekes,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/alsotelekes
68,Alsótold,Nógrád,alsotold,nograd-megye,https://ingatlan.com/lista/alsotold
69,Alsóújlak,Vas,alsoujlak,vas-megye,https://ingatlan.com/lista/alsoujlak
70,Alsóvadász,Borsod-Abaúj-Zemplén,alsovadasz,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/alsovadasz
71,Alsózsolca,Borsod-Abaúj-Zemplén,alsozsolca,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/alsozsolca
72,Ambrózfalva,Csongrád,ambrozfalva,csongrad-megye,https://ingatlan.com/lista/ambrozfalva
73,Anarcs,Szabolcs-Szatmár-Bereg,anarcs,szabolcs-szatmar-bereg-megye,https://ingatlan.com/lista/anarcs
74,Andocs,Somogy,andocs,somogy-megye,https://ingatlan.com/lista/andocs
75,Andornaktálya,Heves,andornaktalya,heves-megye,https://ingatlan.com/lista/andornaktalya
76,Andrásfa,Vas,andrasfa,vas-megye,https://ingatlan.com/lista/andrasfa
77,Annavölgy,Komárom-Esztergom,annavolgy,komarom-esztergom-megye,https://ingatlan.com/lista/annavolgy
78,Apácatorna,Veszprém,apacatorna,veszprem-megye,https://ingatlan.com/lista/apacatorna
79,Apagy,Szabolcs-Szatmár-Bereg,apagy,szabolcs-szatmar-bereg-megye,https://ingatlan.com/lista/apagy
80,Apaj,Pest,apaj,pest-megye,https://ingatlan.com/lista/apaj
81,Aparhant,Tolna,aparhant,tolna-megye,https://ingatlan.com/lista/aparhant
82,Apátfalva,Csongrád,apatfalva,csongrad-megye,https://ingatlan.com/lista/apatfalva
83,Apátistvánfalva,Vas,apatistvanfalva,vas-megye,https://ingatlan.com/lista/apatistvanfalva
84,Apátvarasd,Baranya,apatvarasd,baranya-megye,https://ingatlan.com/lista/apatvarasd
85,Apc,Heves,apc,heves-megye,https://ingatlan.com/lista/apc
86,Áporka,Pest,aporka,pest-megye,https://ingatlan.com/lista/aporka
87,Apostag,Bács-Kiskun,apostag,bacs-kiskun-megye,https://ingatlan.com/lista/apostag
88,Aranyosapáti,Szabolcs-Szatmár-Bereg,aranyosapati,szabolcs-szatmar-bereg-megye,https://ingatlan.com/lista/aranyosapati
89,Aranyosgadány,Baranya,aranyosgadany,baranya-megye,https://ingatlan.com/lista/aranyosgadany
90,Arka,Borsod-Abaúj-Zemplén,arka,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/arka
91,Arló,Borsod-Abaúj-Zemplén,arlo,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/arlo
92,Arnót,Borsod-Abaúj-Zemplén,arnot,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/arnot
93,Ároktő,Borsod-Abaúj-Zemplén,arokto,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/arokto
94,Árpádhalom,Csongrád,arpadhalom,csongrad-megye,https://ingatlan.com/lista/arpadhalom
95,Árpás,Győr-Moson-Sopron,arpas,gyor-moson-sopron-megye,https://ingatlan.com/lista/arpas
96,Ártánd,Hajdú-Bihar,artand,hajdu-bihar-megye,https://ingatlan.com/lista/artand
97,Ásotthalom,Csongrád,asotthalom,csongrad-megye,https://ingatlan.com/lista/asotthalom
98,Ásványráró,Győr-Moson-Sopron,asvanyraro,gyor-moson-sopron-megye,https://ingatlan.com/lista/asvanyraro
99,Aszaló,Borsod-Abaúj-Zemplén,aszalo,borsod-abauj-zemplen-megye,https://ingatlan.com/lista/aszalo
100,Ászár,Komárom-Esztergom,aszar,komarom-esztergom-megye,https://ingatlan.com/lista/aszar
101,Aszód,Pest,aszod,pest-megye,https://ingatlan.com/lista/aszod
102,Aszófő,Veszprém,aszofo,veszprem-megye,https://ingatlan.com/lista/aszofo
103,Áta,Baranya,ata,baranya-megye,https://ingatlan.com/lista/ata
104,Átány,Heves,atany,heves-megye,https://ingatlan.com/lista/atany
105,Atkár,Heves,atkar,heves-megye,https://ingatlan.com/lista/atkar
106,Attala,Tolna,attala,tolna-megye,https://ingatlan.com/lista/attala
107,Babarc,Baranya,babarc,baranya-megye,https://ingatlan.com/lista/babarc
108,Babarcszőlős,Baranya,babarcszolos,baranya-megye,https://ingatlan.com/lista/babarcszolos
109,Babócsa,Somogy,babocsa,somogy-megye,https://ingatlan.com/lista/babocsa
